DD/MM/YYYY,latest,open,max,min,volume,% change,,,,,,,,,,,,,
4/11/2022,3.42,3.44,3.48,3.38,57.97M,0.00%,,,,,,,,,,,,,
3/11/2022,3.42,3.2,3.44,3.18,132.90M,7.55%,,,,,,,,,,,,,
2/11/2022,3.18,3.2,3.22,3.18,27.13M,-0.62%,,,,,,,,,,,,,
1/11/2022,3.2,3.22,3.24,3.18,34.22M,0.00%,,,,,,,,,,,,,
31/10/2022,3.2,3.22,3.26,3.16,48.76M,0.00%,,,,,,,,,,,,,
28/10/2022,3.2,3.3,3.34,3.18,59.87M,-1.23%,,,,,,,,,,,,,
27/10/2022,3.24,3.34,3.34,3.2,66.83M,-2.41%,,,,,,,,,,,,,
26/10/2022,3.32,3.4,3.4,3.32,18.22M,-1.78%,,,,,,,,,,,,,
25/10/2022,3.38,3.3,3.4,3.24,67.78M,3.68%,,,,,,,,,,,,,
21/10/2022,3.26,3.52,3.54,3.22,151.42M,-6.86%,,,,,,,,,,,,,
20/10/2022,3.5,3.62,3.62,3.5,72.02M,-3.31%,,,,,,,,,,,,,
19/10/2022,3.62,3.62,3.66,3.6,31.57M,0.56%,,,,,,,,,,,,,
18/10/2022,3.6,3.72,3.74,3.6,151.87M,-2.17%,,,,,,,,,,,,,
17/10/2022,3.68,3.78,3.8,3.68,50.68M,-2.13%,,,,,,,,,,,,,
12/10/2022,3.76,3.78,3.92,3.68,95.69M,0.00%,,,,,,,,,,,,,
11/10/2022,3.76,3.7,3.82,3.66,55.73M,2.73%,,,,,,,,,,,,,
10/10/2022,3.66,3.64,3.78,3.6,39.78M,-0.54%,,,,,,,,,,,,,
7/10/2022,3.68,3.7,3.7,3.66,17.55M,-1.08%,,,,,,,,,,,,,
6/10/2022,3.72,3.8,3.8,3.72,17.25M,-1.59%,,,,,,,,,,,,,
5/10/2022,3.78,3.84,3.86,3.74,31.89M,0.00%,,,,,,,,,,,,,
4/10/2022,3.78,3.96,3.98,3.76,106.69M,-5.50%,,,,,,,,,,,,,
3/10/2022,4,4.06,4.06,3.94,53.68M,-1.96%,,,,,,,,,,,,,
30/09/2022,4.08,3.96,4.08,3.92,59.38M,3.03%,,,,,,,,,,,,,
29/09/2022,3.96,3.9,4.04,3.86,62.87M,3.66%,,,,,,,,,,,,,
28/09/2022,3.82,4,4,3.8,36.52M,-4.50%,,,,,,,,,,,,,
27/09/2022,4,4.04,4.06,3.98,21.07M,0.50%,,,,,,,,,,,,,
26/09/2022,3.98,4.06,4.06,3.96,20.27M,-2.45%,,,,,,,,,,,,,
23/09/2022,4.08,4.1,4.1,4.04,9.91M,-0.49%,,,,,,,,,,,,,
22/09/2022,4.1,4.04,4.14,4.04,10.02M,1.49%,,,,,,,,,,,,,
21/09/2022,4.04,4.06,4.08,4.04,4.08M,-0.49%,,,,,,,,,,,,,
20/09/2022,4.06,4.08,4.1,4.06,3.15M,0.50%,,,,,,,,,,,,,
19/09/2022,4.04,4.1,4.12,4.04,14.07M,-1.46%,,,,,,,,,,,,,
16/09/2022,4.1,4.12,4.14,4.08,8.50M,-1.44%,,,,,,,,,,,,,
15/09/2022,4.16,4.12,4.16,4.08,9.92M,0.97%,,,,,,,,,,,,,
14/09/2022,4.12,4.1,4.14,4.08,12.47M,-0.96%,,,,,,,,,,,,,
13/09/2022,4.16,4.22,4.22,4.12,18.87M,-1.42%,,,,,,,,,,,,,
12/09/2022,4.22,4.16,4.28,4.14,39.51M,1.93%,,,,,,,,,,,,,
9/09/2022,4.14,4.12,4.16,4.1,11.26M,0.49%,,,,,,,,,,,,,
8/09/2022,4.12,4.12,4.16,4.1,21.13M,0.98%,,,,,,,,,,,,,
7/09/2022,4.08,4.08,4.1,4.08,4.36M,-0.49%,,,,,,,,,,,,,
6/09/2022,4.1,4.08,4.12,4.08,4.48M,0.49%,,,,,,,,,,,,,
